Year,Number,Value
1985,70,4.66
1986,159,9.58
1987,190,7.4
1988,264,17.92
1989,435,31.6
1990,469,68.31
1991,585,22.14
1992,601,28.61
1993,725,45.14
1994,907,59.58
1995,1171,75.86
1996,1645,129.26
1997,1952,174.7
1998,2478,345.07
1999,4333,1218.8
2000,7429,794.58
2001,4425,236.99
2002,3043,141.79
2003,3005,152.57
2004,3498,293.05
2005,3670,333.25
2006,3936,371.69
2007,4202,401.86
2008,3810,310.37
2009,2923,162.04
2010,3032,249.21
2011,3068,208.2
2012,2992,197.72
2013,2927,370.54
2014,3668,409.87
2015,4195,385.54
2016,4030,280.402
2017,4240,270.679
2018,4677,330.3
2019,3346,208.76