Date,MarketCap,,,
1979-12-31,37570000000.00,,,
1980-01-31,40050000000.00,,,
1980-03-04,36910000000.00,,,
1980-04-03,32020000000.00,,,
1980-05-05,32320000000.00,,,
1980-06-05,33260000000.00,,,
1980-07-08,36040000000.00,,,
1980-08-07,38370000000.00,,,
1980-09-09,38590000000.00,,,
1980-10-09,40920000000.00,,,
1980-11-10,39250000000.00,,,
1980-12-11,37640000000.00,,,
1981-01-14,38970000000.00,,,
1981-02-13,36050000000.00,,,
1981-03-18,37800000000.00,,,
1981-04-17,35030000000.00,,,
1981-05-19,33060000000.00,,,
1981-06-19,33570000000.00,,,
1981-07-22,32180000000.00,,,
1981-08-21,33200000000.00,,,
1981-09-23,31820000000.00,,,
1981-10-23,29770000000.00,,,
1981-11-24,30500000000.00,,,
1981-12-28,32990000000.00,,,
1982-01-28,38130000000.00,,,
1982-03-02,36130000000.00,,,
1982-04-01,36130000000.00,,,
1982-05-03,38200000000.00,,,
1982-06-03,36430000000.00,,,
1982-07-06,35760000000.00,,,
1982-08-05,37830000000.00,,,
1982-09-07,42940000000.00,,,
1982-10-07,47610000000.00,,,
1982-11-08,49380000000.00,,,
1982-12-09,55450000000.00,,,
1983-01-11,59040000000.00,,,
1983-02-10,58060000000.00,,,
1983-03-15,60770000000.00,,,
1983-04-14,65960000000.00,,,
1983-05-16,69430000000.00,,,
1983-06-16,73340000000.00,,,
1983-07-19,72820000000.00,,,
1983-08-18,73270000000.00,,,
1983-09-20,74620000000.00,,,
1983-10-20,78160000000.00,,,
1983-11-21,75450000000.00,,,
1983-12-22,74020000000.00,,,
1984-01-25,70460000000.00,,,
1984-02-27,68940000000.00,,,
1984-03-28,70460000000.00,,,
1984-04-27,66140000000.00,,,
1984-05-30,62560000000.00,,,
1984-06-29,61690000000.00,,,
1984-08-01,68990000000.00,,,
1984-08-31,75640000000.00,,,
1984-10-03,74060000000.00,,,
1984-11-02,76890000000.00,,,
1984-12-05,72000000000.00,,,
1985-01-08,73370000000.00,,,
1985-02-07,84010000000.00,,,
1985-03-12,80800000000.00,,,
1985-04-11,77810000000.00,,,
1985-05-13,79800000000.00,,,
1985-06-13,72680000000.00,,,
1985-07-16,78730000000.00,,,
1985-08-15,77430000000.00,,,
1985-09-17,77660000000.00,,,
1985-10-17,78860000000.00,,,
1985-11-18,85000000000.00,,,
1985-12-19,94360000000.00,,,
1986-01-22,88770000000.00,,,
1986-02-24,97770000000.00,,,
1986-03-26,90850000000.00,,,
1986-04-28,99310000000.00,,,
1986-05-29,94080000000.00,,,
1986-06-30,90190000000.00,,,
1986-07-31,81570000000.00,,,
1986-09-02,83720000000.00,,,
1986-10-02,81870000000.00,,,
1986-11-03,77800000000.00,,,
1986-12-04,78640000000.00,,,
1987-01-07,74830000000.00,,,
1987-02-06,82250000000.00,,,
1987-03-11,85890000000.00,,,
1987-04-10,87860000000.00,,,
1987-05-13,100700000000.00,,,
1987-06-15,96720000000.00,,,
1987-07-16,101900000000.00,,,
1987-08-17,105700000000.00,,,
1987-09-17,95660000000.00,,,
1987-10-19,62560000000.00,,,
1987-11-18,71730000000.00,,,
1987-12-21,71650000000.00,,,
1988-01-22,65970000000.00,,,
1988-02-24,69330000000.00,,,
1988-03-25,63880000000.00,,,
1988-04-27,68060000000.00,,,
1988-05-27,64480000000.00,,,
1988-06-29,75830000000.00,,,
1988-08-01,74880000000.00,,,
1988-08-31,66130000000.00,,,
1988-10-03,68000000000.00,,,
1988-11-02,72730000000.00,,,
1988-12-05,71550000000.00,,,
1989-01-06,72170000000.00,,,
1989-02-07,75570000000.00,,,
1989-03-10,70020000000.00,,,
1989-04-12,65800000000.00,,,
1989-05-12,65580000000.00,,,
1989-06-14,65360000000.00,,,
1989-07-17,67880000000.00,,,
1989-08-16,67590000000.00,,,
1989-09-18,67960000000.00,,,
1989-10-18,58890000000.00,,,
1989-11-17,57370000000.00,,,
1989-12-20,54770000000.00,,,
1990-01-23,55600000000.00,,,
1990-02-23,58980000000.00,,,
1990-03-27,60060000000.00,,,
1990-04-27,61600000000.00,,,
1990-05-30,69350000000.00,,,
1990-06-29,67410000000.00,,,
1990-08-01,63940000000.00,,,
1990-08-31,58360000000.00,,,
1990-10-03,61320000000.00,,,
1990-11-02,61890000000.00,,,
1990-12-05,65460000000.00,,,
1991-01-08,62280000000.00,,,
1991-02-07,73420000000.00,,,
1991-03-12,72570000000.00,,,
1991-04-12,62130000000.00,,,
1991-05-14,60700000000.00,,,
1991-06-14,57480000000.00,,,
1991-07-17,55070000000.00,,,
1991-08-16,55210000000.00,,,
1991-09-18,60290000000.00,,,
1991-10-18,57380000000.00,,,
1991-11-19,55160000000.00,,,
1991-12-20,49020000000.00,,,
1992-01-23,53390000000.00,,,
1992-02-25,50390000000.00,,,
1992-03-26,48040000000.00,,,
1992-04-28,50510000000.00,,,
1992-05-29,51790000000.00,,,
1992-06-30,55900000000.00,,,
1992-07-31,54110000000.00,,,
1992-09-01,50040000000.00,,,
1992-10-02,44790000000.00,,,
1992-11-03,39440000000.00,,,
1992-12-04,38230000000.00,,,
1993-01-07,26860000000.00,,,
1993-02-08,30210000000.00,,,
1993-03-11,31360000000.00,,,
1993-04-13,28140000000.00,,,
1993-05-13,27070000000.00,,,
1993-06-15,28420000000.00,,,
1993-07-16,26050000000.00,,,
1993-08-17,24550000000.00,,,
1993-09-17,24770000000.00,,,
1993-10-19,25060000000.00,,,
1993-11-18,30470000000.00,,,
1993-12-21,33870000000.00,,,
1994-01-21,32120000000.00,,,
1994-02-23,31100000000.00,,,
1994-03-25,31390000000.00,,,
1994-04-28,33310000000.00,,,
1994-05-31,36740000000.00,,,
1994-06-30,34360000000.00,,,
1994-08-02,36410000000.00,,,
1994-09-01,39700000000.00,,,
1994-10-04,40150000000.00,,,
1994-11-03,43160000000.00,,,
1994-12-06,42060000000.00,,,
1995-01-09,44370000000.00,,,
1995-02-08,43640000000.00,,,
1995-03-13,47980000000.00,,,
1995-04-12,50790000000.00,,,
1995-05-15,55380000000.00,,,
1995-06-15,54210000000.00,,,
1995-07-18,60780000000.00,,,
1995-08-17,64620000000.00,,,
1995-09-19,55030000000.00,,,
1995-10-19,54860000000.00,,,
1995-11-20,51920000000.00,,,
1995-12-21,50740000000.00,,,
1996-01-24,58610000000.00,,,
1996-02-26,68400000000.00,,,
1996-03-27,60500000000.00,,,
1996-04-29,58620000000.00,,,
1996-05-30,57880000000.00,,,
1996-07-01,53540000000.00,,,
1996-08-01,56570000000.00,,,
1996-09-03,60790000000.00,,,
1996-10-03,64690000000.00,,,
1996-11-04,66640000000.00,,,
1996-12-05,82030000000.00,,,
1997-01-08,81210000000.00,,,
1997-02-07,75560000000.00,,,
1997-03-12,72290000000.00,,,
1997-04-14,67780000000.00,,,
1997-05-14,86340000000.00,,,
1997-06-16,88640000000.00,,,
1997-07-17,97860000000.00,,,
1997-08-18,102200000000.00,,,
1997-09-18,97000000000.00,,,
1997-10-20,96310000000.00,,,
1997-11-19,101800000000.00,,,
1997-12-22,101300000000.00,,,
1998-01-26,94010000000.00,,,
1998-02-26,101100000000.00,,,
1998-03-30,98780000000.00,,,
1998-04-30,109300000000.00,,,
1998-06-02,109000000000.00,,,
1998-07-02,107500000000.00,,,
1998-08-04,118300000000.00,,,
1998-09-03,113600000000.00,,,
1998-10-06,110100000000.00,,,
1998-11-05,137500000000.00,,,
1998-12-08,155200000000.00,,,
1999-01-11,173300000000.00,,,
1999-02-11,163500000000.00,,,
1999-03-16,166600000000.00,,,
1999-04-16,154600000000.00,,,
1999-05-18,216400000000.00,,,
1999-06-18,219100000000.00,,,
1999-07-21,233400000000.00,,,
1999-08-20,220300000000.00,,,
1999-09-22,226500000000.00,,,
1999-10-22,169300000000.00,,,
1999-11-23,191300000000.00,,,
1999-12-27,197800000000.00,,,
2000-01-27,202500000000.00,,,
2000-02-29,183300000000.00,,,
2000-03-30,219700000000.00,,,
2000-05-02,197400000000.00,,,
2000-06-02,192200000000.00,,,
2000-07-05,183100000000.00,,,
2000-08-04,204000000000.00,,,
2000-09-06,231400000000.00,,,
2000-10-06,203500000000.00,,,
2000-11-07,179500000000.00,,,
2000-12-08,170200000000.00,,,
2001-01-11,163300000000.00,,,
2001-02-13,198300000000.00,,,
2001-03-16,158600000000.00,,,
2001-04-18,185000000000.00,,,
2001-05-18,204500000000.00,,,
2001-06-20,196500000000.00,,,
2001-07-23,183800000000.00,,,
2001-08-22,180500000000.00,,,
2001-09-28,159300000000.00,,,
2001-10-30,187200000000.00,,,
2001-11-30,199100000000.00,,,
2002-01-03,211600000000.00,,,
2002-02-05,183200000000.00,,,
2002-03-08,180400000000.00,,,
2002-04-10,152400000000.00,,,
2002-05-10,136400000000.00,,,
2002-06-12,127800000000.00,,,
2002-07-15,115700000000.00,,,
2002-08-14,127100000000.00,,,
2002-09-16,122500000000.00,,,
2002-10-16,109700000000.00,,,
2002-11-15,135200000000.00,,,
2002-12-18,133700000000.00,,,
2003-01-22,137300000000.00,,,
2003-02-24,135300000000.00,,,
2003-03-26,140800000000.00,,,
2003-04-28,147100000000.00,,,
2003-05-29,151000000000.00,,,
2003-06-30,142700000000.00,,,
2003-07-31,140600000000.00,,,
2003-09-02,148400000000.00,,,
2003-10-02,155000000000.00,,,
2003-11-03,154300000000.00,,,
2003-12-04,157300000000.00,,,
2004-01-07,157200000000.00,,,
2004-02-09,167300000000.00,,,
2004-03-11,154600000000.00,,,
2004-04-13,156800000000.00,,,
2004-05-13,146900000000.00,,,
2004-06-16,152300000000.00,,,
2004-07-19,142900000000.00,,,
2004-08-18,141500000000.00,,,
2004-09-20,143600000000.00,,,
2004-10-20,147900000000.00,,,
2004-11-19,157200000000.00,,,
2004-12-22,162500000000.00,,,
2005-01-25,151700000000.00,,,
2005-02-25,151500000000.00,,,
2005-03-30,148000000000.00,,,
2005-04-29,123200000000.00,,,
2005-06-01,124000000000.00,,,
2005-07-01,119200000000.00,,,
2005-08-03,134100000000.00,,,
2005-09-02,126800000000.00,,,
2005-10-05,126100000000.00,,,
2005-11-04,131100000000.00,,,
2005-12-07,140100000000.00,,,
2006-01-10,131800000000.00,,,
2006-02-10,127500000000.00,,,
2006-03-15,130700000000.00,,,
2006-04-17,126600000000.00,,,
2006-05-17,126000000000.00,,,
2006-06-19,120400000000.00,,,
2006-07-20,114900000000.00,,,
2006-08-21,120700000000.00,,,
2006-09-21,124200000000.00,,,
2006-10-23,137900000000.00,,,
2006-11-22,140900000000.00,,,
2006-12-26,144100000000.00,,,
2007-01-30,149600000000.00,,,
2007-03-02,136900000000.00,,,
2007-04-03,142700000000.00,,,
2007-05-04,152900000000.00,,,
2007-06-06,152100000000.00,,,
2007-07-09,148200000000.00,,,
2007-08-08,153700000000.00,,,
2007-09-10,157500000000.00,,,
2007-10-10,163500000000.00,,,
2007-11-09,138500000000.00,,,
2007-12-12,149500000000.00,,,
2008-01-15,141000000000.00,,,
2008-02-15,147000000000.00,,,
2008-03-19,161900000000.00,,,
2008-04-21,170800000000.00,,,
2008-05-21,169800000000.00,,,
2008-06-23,169600000000.00,,,
2008-07-24,176100000000.00,,,
2008-08-25,166500000000.00,,,
2008-09-25,162700000000.00,,,
2008-10-27,107000000000.00,,,
2008-11-26,109700000000.00,,,
2008-12-30,112200000000.00,,,
2009-02-02,121800000000.00,,,
2009-03-05,117100000000.00,,,
2009-04-06,134200000000.00,,,
2009-05-07,135600000000.00,,,
2009-06-09,142900000000.00,,,
2009-07-10,132200000000.00,,,
2009-08-11,154400000000.00,,,
2009-09-11,154700000000.00,,,
2009-10-13,166900000000.00,,,
2009-11-12,165900000000.00,,,
2009-12-15,168800000000.00,,,
2010-01-19,175100000000.00,,,
2010-02-19,165200000000.00,,,
2010-03-23,168100000000.00,,,
2010-04-23,166700000000.00,,,
2010-05-25,159700000000.00,,,
2010-06-25,163000000000.00,,,
2010-07-28,162000000000.00,,,
2010-08-27,157300000000.00,,,
2010-09-29,170900000000.00,,,
2010-10-29,178400000000.00,,,
2010-12-01,179400000000.00,,,
2011-01-03,181100000000.00,,,
2011-02-03,200800000000.00,,,
2011-03-08,197900000000.00,,,
2011-04-07,199100000000.00,,,
2011-05-10,206400000000.00,,,
2011-06-10,197600000000.00,,,
2011-07-13,208200000000.00,,,
2011-08-12,200900000000.00,,,
2011-09-14,199700000000.00,,,
2011-10-14,224600000000.00,,,
2011-11-15,222500000000.00,,,
2011-12-16,216400000000.00,,,
2012-01-20,219300000000.00,,,
2012-02-22,224600000000.00,,,
2012-03-23,238100000000.00,,,
2012-04-25,234800000000.00,,,
2012-05-25,224100000000.00,,,
2012-06-27,222600000000.00,,,
2012-07-30,224800000000.00,,,
2012-08-29,222900000000.00,,,
2012-10-01,237800000000.00,,,
2012-10-31,219800000000.00,,,
2012-12-03,214100000000.00,,,
2013-01-04,216800000000.00,,,
2013-02-06,224600000000.00,,,
2013-03-11,234100000000.00,,,
2013-04-11,236100000000.00,,,
2013-05-13,224500000000.00,,,
2013-06-13,225900000000.00,,,
2013-07-16,212300000000.00,,,
2013-08-15,203500000000.00,,,
2013-09-17,210500000000.00,,,
2013-10-17,189800000000.00,,,
2013-11-18,200300000000.00,,,
2013-12-19,195700000000.00,,,
2014-01-23,192700000000.00,,,
2014-02-25,190800000000.00,,,
2014-03-27,197700000000.00,,,
2014-04-29,197500000000.00,,,
2014-05-30,186600000000.00,,,
2014-07-01,185900000000.00,,,
2014-08-01,188700000000.00,,,
2014-09-03,191500000000.00,,,
2014-10-03,186700000000.00,,,
2014-11-04,161000000000.00,,,
2014-12-05,161600000000.00,,,
2015-01-08,156900000000.00,,,
2015-02-10,156700000000.00,,,
2015-03-13,152500000000.00,,,
2015-04-15,161600000000.00,,,
2015-05-15,170600000000.00,,,
2015-06-17,164600000000.00,,,
2015-07-20,169700000000.00,,,
2015-08-19,150800000000.00,,,
2015-09-21,143500000000.00,,,
2015-10-21,136700000000.00,,,
2015-11-20,134400000000.00,,,
2015-12-23,134400000000.00,,,
2016-01-27,116800000000.00,,,
2016-02-29,125900000000.00,,,
2016-03-31,145400000000.00,,,
2016-05-02,139500000000.00,,,
2016-06-02,147400000000.00,,,
2016-07-05,145000000000.00,,,
2016-08-04,154400000000.00,,,
2016-09-06,153300000000.00,,,
2016-10-06,149200000000.00,,,
2016-11-08,147500000000.00,,,
2016-12-09,158300000000.00,,,
2017-01-12,158900000000.00,,,
2017-02-14,169900000000.00,,,
2017-03-17,165700000000.00,,,
2017-04-19,151900000000.00,,,
2017-05-19,142800000000.00,,,
2017-06-21,144500000000.00,,,
2017-07-24,136100000000.00,,,
2017-08-23,132500000000.00,,,
2017-09-25,135900000000.00,,,
2017-10-25,142100000000.00,,,
2017-11-27,140700000000.00,,,
2017-12-28,142600000000.00,,,
2018-01-31,151000000000.00,,,
2018-03-05,144600000000.00,,,
2018-04-05,141400000000.00,,,
2018-05-07,131500000000.00,,,
2018-06-07,133400000000.00,,,
2018-07-10,132100000000.00,,,
2018-08-09,132100000000.00,,,
2018-09-11,133700000000.00,,,
2018-10-11,126300000000.00,,,
2018-11-12,109900000000.00,,,
2018-12-14,109000000000.00,,,
2019-01-17,109100000000.00,,,
2019-02-20,122800000000.00,,,
2019-03-25,123900000000.00,,,
2019-04-25,122900000000.00,,,
2019-05-28,115700000000.00,,,
2019-06-27,122800000000.00,,,
2019-07-30,132700000000.00,,,
2019-08-29,119500000000.00,,,
2019-10-01,127300000000.00,,,
2019-10-31,118500000000.00,,,
,,,,
,,,,
,,,,
